Date,Open,High,Low,Close,Volume
2022-01-03,98.95,99.99,96.88,98.64,689430
2022-01-04,98.05,98.9,96.07,97.97,1396895
2022-01-05,98.22,98.74,97.11,98.23,512213
2022-01-06,96.95,97.99,95.18,96.93,1361231
2022-01-07,96.11,97.13,95.2,96.5,704415
2022-01-10,95.49,97.0,93.38,95.1,1128349
2022-01-11,96.22,98.11,95.05,96.18,1192021
2022-01-12,96.62,97.49,95.55,96.64,651200
2022-01-13,96.21,97.58,95.13,95.96,975339
2022-01-14,96.51,98.84,95.42,96.88,1198054
2022-01-17,97.65,98.37,96.4,97.59,1169693
2022-01-18,98.12,100.24,97.49,98.49,819564
2022-01-19,99.89,101.94,98.16,100.14,706465
2022-01-20,100.12,100.27,97.88,99.74,1426280
2022-01-21,98.47,99.83,96.83,98.12,1480539
2022-01-24,98.42,99.82,97.35,98.33,1417963
2022-01-25,97.39,98.42,96.78,97.79,773225
2022-01-26,98.61,100.43,97.43,98.78,1045347
2022-01-27,98.81,99.89,98.3,99.22,1000826
2022-01-28,100.41,101.8,98.91,100.44,1497695
2022-01-31,99.42,101.16,98.08,99.41,1110007
2022-02-01,99.55,100.99,99.43,100.01,758043
2022-02-02,99.53,101.2,98.2,99.95,1261624
2022-02-03,100.74,101.26,98.74,100.31,1315065
2022-02-04,100.54,102.23,100.06,100.64,1400569
2022-02-07,101.42,102.35,100.03,101.04,1316920
2022-02-08,101.44,102.95,99.28,101.04,1097696
2022-02-09,99.49,100.26,98.55,99.66,1397503
2022-02-10,98.83,100.08,98.66,99.18,789204
2022-02-11,101.29,102.36,99.59,100.95,729413
2022-02-14,100.04,100.89,97.8,99.61,729489
2022-02-15,99.66,101.68,97.92,99.68,564866
2022-02-16,96.18,98.5,94.73,96.62,1490511
2022-02-17,96.58,98.47,95.36,96.88,949993
2022-02-18,94.74,96.19,94.01,94.9,770861
2022-02-21,95.38,96.18,94.72,95.37,986634
2022-02-22,94.89,96.1,94.64,95.37,1373348
2022-02-23,93.29,93.94,91.5,93.01,1362354
2022-02-24,91.14,92.23,90.41,91.12,982606
2022-02-25,92.32,93.0,90.72,92.49,678473
2022-02-28,93.28,94.71,91.87,93.24,1333369
2022-03-01,93.93,95.86,93.24,93.89,1264501
2022-03-02,94.76,96.61,93.49,94.97,1316180
2022-03-03,96.24,97.78,95.25,96.36,1136074
2022-03-04,96.41,97.08,94.66,96.52,1394124
2022-03-07,97.92,99.13,96.13,97.66,1223172
2022-03-08,97.51,98.28,96.67,97.35,1326245
2022-03-09,97.34,99.07,95.73,97.25,827154
2022-03-10,97.12,98.54,95.38,96.8,933323
2022-03-11,95.54,96.88,93.42,95.28,1086897
2022-03-14,95.38,97.23,93.97,95.74,1108252
2022-03-15,94.94,96.18,93.01,94.96,993610
2022-03-16,94.09,95.24,92.38,93.63,666311
